OlinkID,cv_percent,UniProt,Assay,Panel,Retain
OID20419,109.22508504950703,P60568,IL2,Inflammation,Unique Protein
OID20420,31.10658954150653,Q13651,IL10RA,Inflammation,Unique Protein
OID20421,41.82230943016657,Q13219,PAPPA,Inflammation,Unique Protein
OID20422,38.83128161762722,Q9UHF4,IL20RA,Inflammation,Unique Protein
OID20423,30.402363868405207,P63241,EIF5A,Inflammation,Unique Protein
OID20424,37.25206297851802,P05412,JUN,Inflammation,Unique Protein
OID20425,62.96770911361362,Q96AX2,RAB37,Inflammation,Unique Protein
OID20426,735.1626198185713,P05112,IL4,Inflammation,Unique Protein
OID20427,85.8218402734492,P01584,IL1B,Inflammation,Unique Protein
OID20428,39.78103766546303,O95760,IL33,Inflammation,Unique Protein
OID20429,25.618731324586996,Q8NHJ6,LILRB4,Inflammation,Unique Protein
OID20430,50.12271961934438,P35225,IL13,Inflammation,Unique Protein
OID20431,35.51207261299738,P22301,IL10,Inflammation,Unique Protein
OID20432,57.97285671459355,P27540,ARNT,Inflammation,Unique Protein
OID20433,82.36731004574459,O95379,TNFAIP8,Inflammation,Unique Protein
OID20434,48.03796732575595,Q8WV07,LTO1,Inflammation,Unique Protein
OID20435,29.017743628845672,O43707,ACTN4,Inflammation,Unique Protein
OID20436,54.69405784157634,P28838,LAP3,Inflammation,Unique Protein
OID20437,20.55292359496504,Q9NP70,AMBN,Inflammation,Unique Protein
OID20438,19.364964768188074,Q6UXK5,LRRN1,Inflammation,Unique Protein
OID20439,22.640700870887816,Q9HCU5,PREB,Inflammation,Unique Protein
OID20440,75.51413479301999,Q13007,IL24,Inflammation,Unique Protein
OID20441,56.82637189594944,Q9UPV0,CEP164,Inflammation,Unique Protein
OID20442,44.44320334646435,O60934,NBN,Inflammation,Unique Protein
OID20443,44.00918429661865,Q96P31,FCRL3,Inflammation,Unique Protein
OID20444,46.23530058211611,Q9Y478,PRKAB1,Inflammation,Unique Protein
OID20445,49.70535334698695,Q8TCS8,PNPT1,Inflammation,Unique Protein
OID20446,45.46664449338745,Q5T4W7,ARTN,Inflammation,Unique Protein
OID20447,38.675053486387775,Q5R372,RABGAP1L,Inflammation,Unique Protein
OID20448,45.278415623434164,Q969V3,NCLN,Inflammation,Unique Protein
OID20449,26.739425433157088,Q8N6P7,IL22RA1,Inflammation,Unique Protein
OID20450,80.80649988561991,P14784,IL2RB,Inflammation,Unique Protein
OID20451,66.67122054021792,Q13459,MYO9B,Inflammation,Unique Protein
OID20452,43.18469629954743,P19801,AOC1,Inflammation,Unique Protein
OID20453,40.919860523329646,Q9NYY1,IL20,Inflammation,Unique Protein
OID20454,51.46574703245831,P57771,RGS8,Inflammation,Unique Protein
OID20455,55.82004800111024,P20809,IL11,Inflammation,Unique Protein
OID20456,35.59066468465264,Q96PD4,IL17F,Inflammation,Unique Protein
OID20457,27.715294351221438,O76038,SCGN,Inflammation,Unique Protein
OID20458,22.895760871873936,O95715,CXCL14,Inflammation,Unique Protein
OID20459,42.91391019809134,Q03426,MVK,Inflammation,Unique Protein
OID20460,24.723663701784666,O14904,WNT9A,Inflammation,Unique Protein
OID20461,25.622946262790535,P26951,IL3RA,Inflammation,Unique Protein
OID20462,50.50284146528743,Q9Y3P8,SIT1,Inflammation,Unique Protein
OID20463,50.38439245319846,Q96DB9,FXYD5,Inflammation,Unique Protein
OID20464,31.39252946275289,P48061,CXCL12,Inflammation,Unique Protein
OID20465,93.34567480944578,Q99748,NRTN,Inflammation,Unique Protein
OID20466,52.523655670984105,Q13574,DGKZ,Inflammation,Unique Protein
OID20467,71.34113034190173,Q9Y2J8,PADI2,Inflammation,Unique Protein
OID20468,34.678108091141276,Q04759,PRKCQ,Inflammation,Unique Protein
OID20469,36.018458890942085,Q16552,IL17A,Inflammation,Unique Protein
OID20470,55.484820070661044,Q12968,NFATC3,Inflammation,Unique Protein
OID20471,32.05506790402733,Q14435,GALNT3,Inflammation,Unique Protein
OID20472,227.40039641593364,P05113,IL5,Inflammation,Unique Protein
OID20473,38.52921248394118,P01375,TNF,Inflammation,Duplicated Protein and not lowest CV
OID20474,93.5573090043232,Q92844,TANK,Inflammation,Unique Protein
OID20475,53.147909247082914,O43597,SPRY2,Inflammation,Unique Protein
OID20476,57.45545121182689,P13693,TPT1,Inflammation,Unique Protein
OID20477,29.84380214223052,Q9P0M4,IL17C,Inflammation,Unique Protein
OID20478,62.73898880804235,Q7Z739,YTHDF3,Inflammation,Unique Protein
OID20479,87.44809687119948,P42768,WAS,Inflammation,Unique Protein
OID20480,28.158218528372636,Q96RJ3,TNFRSF13C,Inflammation,Unique Protein
OID20481,21.458639145475576,Q8TAD2,IL17D,Inflammation,Unique Protein
OID20482,33.11668223854103,Q7Z6M3,MILR1,Inflammation,Unique Protein
OID20483,54.267786947268434,P30048,PRDX3,Inflammation,Unique Protein
OID20484,58.28255146295594,Q05084,ICA1,Inflammation,Unique Protein
OID20485,50.81218534346018,P51617,IRAK1,Inflammation,Unique Protein
OID20486,30.73961270092449,P42701,IL12RB1,Inflammation,Unique Protein
OID20487,19.44692797833961,Q9HB29,IL1RL2,Inflammation,Unique Protein
OID20488,81.5285370697488,P01583,IL1A,Inflammation,Unique Protein
OID20489,145.4420077965507,P32456,GBP2,Inflammation,Unique Protein
OID20490,20.33940827167288,P12034,FGF5,Inflammation,Unique Protein
OID20491,23.803597387284064,P09919,CSF3,Inflammation,Unique Protein
OID20492,34.89963183705086,Q9BXJ7,AMN,Inflammation,Unique Protein
OID20493,20.54185331430291,P18564,ITGB6,Inflammation,Unique Protein
OID20494,27.215383032164432,P01591,JCHAIN,Inflammation,Unique Protein
OID20495,48.11407969094256,P01579,IFNG,Inflammation,Unique Protein
OID20496,42.45631465890214,Q13291,SLAMF1,Inflammation,Unique Protein
OID20497,30.128035539841946,Q8N8S7,ENAH,Inflammation,Unique Protein
OID20498,36.92574890220236,Q13261,IL15RA,Inflammation,Unique Protein
OID20500,43.30907682387938,P09874,PARP1,Inflammation,Unique Protein
OID20501,62.78308820519409,Q0Z7S8,FABP9,Inflammation,Unique Protein
OID20502,41.679833530779945,P78362,SRPK2,Inflammation,Unique Protein
OID20503,53.39188622314336,P09038,FGF2,Inflammation,Unique Protein
OID20504,99.68422521826136,O43736,ITM2A,Inflammation,Unique Protein
OID20505,48.30109230697975,O14867,BACH1,Inflammation,Unique Protein
OID20506,83.44692941519092,Q8IU57,IFNLR1,Inflammation,Unique Protein
OID20507,76.43223444512378,Q12933,TRAF2,Inflammation,Unique Protein
OID20508,46.51509694776605,Q06520,SULT2A1,Inflammation,Unique Protein
OID20509,37.36635761639649,O60575,SPINK4,Inflammation,Unique Protein
OID20510,64.45880806202582,Q9Y5A7,NUB1,Inflammation,Unique Protein
OID20511,54.50712608163738,O60542,PSPN,Inflammation,Unique Protein
OID20512,34.70943459958243,P30838,ALDH3A1,Inflammation,Unique Protein
OID20513,15.682269173284974,O43521-2,BCL2L11,Inflammation,Unique Protein
OID20514,44.70559502976316,O60880,SH2D1A,Inflammation,Unique Protein
OID20515,60.081422057647885,Q12778,FOXO1,Inflammation,Unique Protein
OID20516,53.30873905513184,Q7L8A9,VASH1,Inflammation,Unique Protein
OID20517,31.23319857161131,P55957,BID,Inflammation,Unique Protein
OID20519,75.02816785034094,Q6UB28,METAP1D,Inflammation,Unique Protein
OID20520,71.41855606479862,P01903,HLA-DRA,Inflammation,Unique Protein
OID20521,110.97108267175035,Q92609,TBC1D5,Inflammation,Unique Protein
OID20522,48.722202726570735,P01588,EPO,Inflammation,Unique Protein
OID20523,73.8302470220435,P80098,CCL7,Inflammation,Unique Protein
OID20524,101.9112873812316,Q9UN19,DAPP1,Inflammation,Unique Protein
OID20525,92.21140517434728,Q9UNE0,EDAR,Inflammation,Unique Protein
OID20526,69.31220536517434,Q9C035,TRIM5,Inflammation,Unique Protein
OID20527,47.96321183811114,Q8N608,DPP10,Inflammation,Unique Protein
OID20528,35.370311091525835,P23229,ITGA6,Inflammation,Unique Protein
OID20529,85.77068448749249,Q6DN72,FCRL6,Inflammation,Unique Protein
OID20530,70.62788936127308,P33241,LSP1,Inflammation,Unique Protein
OID20531,47.40678950301222,Q9UNK0,STX8,Inflammation,Unique Protein
OID20532,27.811981883847615,P13747,HLA-E,Inflammation,Unique Protein
OID20533,102.85456666246957,P19474,TRIM21,Inflammation,Unique Protein
OID20534,96.05089974165296,O75475,PSIP1,Inflammation,Unique Protein
OID20535,66.34786773764874,P13232,IL7,Inflammation,Unique Protein
OID20536,71.15817713678194,Q8IVG5,SAMD9L,Inflammation,Unique Protein
OID20537,58.00730195794487,Q96LC7,SIGLEC10,Inflammation,Unique Protein
OID20538,86.09319063975178,B1AKI9,ISM1,Inflammation,Unique Protein
OID20539,50.405627485248935,Q6ZMH5,SLC39A5,Inflammation,Unique Protein
OID20540,62.63123934447196,P78410,BTN3A2,Inflammation,Unique Protein
OID20541,66.30479381023342,P12872,MLN,Inflammation,Unique Protein
OID20542,69.62510000165577,Q12765,SCRN1,Inflammation,Unique Protein
OID20543,66.5099122979768,P58294,PROK1,Inflammation,Unique Protein
OID20544,75.19360848127108,Q9Y6K9,IKBKG,Inflammation,Unique Protein
OID20545,69.06036574521553,O95644,NFATC1,Inflammation,Unique Protein
OID20546,88.08322803526029,Q9Y258,CCL26,Inflammation,Unique Protein
OID20547,81.08055680909513,Q8WTT0,CLEC4C,Inflammation,Unique Protein
OID20548,75.69468894964902,Q3KPI0,CEACAM21,Inflammation,Unique Protein
OID20549,56.53423121365311,Q9BT73,PSMG3,Inflammation,Unique Protein
OID20550,30.00772866031804,P20849,COL9A1,Inflammation,Unique Protein
OID20551,85.89328641017245,Q9HD26,GOPC,Inflammation,Unique Protein
OID20552,80.89478871643234,P52564,MAP2K6,Inflammation,Unique Protein
OID20553,100.87404258600503,Q9H0P0,NT5C3A,Inflammation,Unique Protein
OID20554,80.26654083582852,Q9NZN5,ARHGEF12,Inflammation,Unique Protein
OID20555,53.29948959992578,P42575,CASP2,Inflammation,Unique Protein
OID20556,48.15449658377204,Q9UHC6,CNTNAP2,Inflammation,Unique Protein
OID20557,39.768648424664924,P45984,MAPK9,Inflammation,Unique Protein
OID20558,64.74483012842174,P11274,BCR,Inflammation,Unique Protein
OID20559,129.71720219537343,Q9UDT6,CLIP2,Inflammation,Unique Protein
OID20560,55.29720477290084,Q14242,SELPLG,Inflammation,Unique Protein
OID20561,62.164310837017965,P78310,CXADR,Inflammation,Unique Protein
OID20562,93.82640274758985,P40933,IL15,Inflammation,Unique Protein
OID20563,93.52061340870118,P05231,IL6,Inflammation,Duplicated Protein and not lowest CV
OID20564,63.14186270648111,P24071,FCAR,Inflammation,Unique Protein
OID20565,85.69676119163287,Q01151,CD83,Inflammation,Unique Protein
OID20566,49.78110962295631,O76036,NCR1,Inflammation,Unique Protein
OID20567,107.12619514575314,P19878,NCF2,Inflammation,Unique Protein
OID20568,83.34331953915446,P23582,NPPC,Inflammation,Unique Protein
OID20569,69.46645688786874,Q9NRJ3,CCL28,Inflammation,Unique Protein
OID20570,114.64157433465974,P26022,PTX3,Inflammation,Unique Protein
OID20571,58.83530865108468,Q03431,PTH1R,Inflammation,Unique Protein
OID20572,57.58704425723858,Q9GZT9,EGLN1,Inflammation,Unique Protein
OID20573,88.34150674734654,Q9UMR7,CLEC4A,Inflammation,Unique Protein
OID20574,111.88873380500684,P13725,OSM,Inflammation,Unique Protein
OID20575,55.39849803317837,P28845,HSD11B1,Inflammation,Unique Protein
OID20576,105.06893348024666,P24394,IL4R,Inflammation,Unique Protein
OID20577,85.37642620898507,Q9NWZ3,IRAK4,Inflammation,Unique Protein
OID20578,58.5971974790518,Q14773,ICAM4,Inflammation,Unique Protein
OID20579,90.33391965398077,Q16698,DECR1,Inflammation,Unique Protein
OID20580,86.59952620728205,O60449,LY75,Inflammation,Unique Protein
OID20581,51.033859919033,Q9UKX5,ITGA11,Inflammation,Unique Protein
OID20582,77.89460124641666,O15169,AXIN1,Inflammation,Unique Protein
OID20583,90.65787819437625,P50995,ANXA11,Inflammation,Unique Protein
OID20584,61.068804974909185,P01730,CD4,Inflammation,Unique Protein
OID20585,73.00236880847226,Q9NRM6,IL17RB,Inflammation,Unique Protein
OID20586,12.046786724702404,P01374,LTA,Inflammation,Unique Protein
OID20587,66.58333917511354,Q6ZUJ8,PIK3AP1,Inflammation,Unique Protein
OID20588,92.74666276959444,P16455,MGMT,Inflammation,Unique Protein
OID20589,90.56884703955723,O94992,HEXIM1,Inflammation,Unique Protein
OID20590,100.2382749089628,Q6UXB4,CLEC4G,Inflammation,Unique Protein
OID20591,80.39379509894704,P20783,NTF3,Inflammation,Unique Protein
OID20592,50.56136397496477,O14788,TNFSF11,Inflammation,Unique Protein
OID20593,97.41443629626819,Q29980_Q29983,MICB_MICA,Inflammation,Unique Protein
OID20594,101.49166638537316,Q8NDB2,BANK1,Inflammation,Unique Protein
OID20595,103.05686744657059,Q8TD46,CD200R1,Inflammation,Unique Protein
OID20596,65.31756231097926,P08727,KRT19,Inflammation,Unique Protein
OID20597,140.8327448120885,Q9HCM2,PLXNA4,Inflammation,Unique Protein
OID20598,87.5980153537238,P28827,PTPRM,Inflammation,Unique Protein
OID20599,81.1793586222104,P32970,CD70,Inflammation,Unique Protein
OID20600,54.02900827441018,P01135,TGFA,Inflammation,Unique Protein
OID20601,101.10872644207676,Q01344,IL5RA,Inflammation,Unique Protein
OID20602,63.44946399214349,Q9NQ25,SLAMF7,Inflammation,Unique Protein
OID20603,84.86867745051259,P41217,CD200,Inflammation,Unique Protein
OID20604,55.56893756964642,P10144,GZMB,Inflammation,Unique Protein
OID20605,81.01828136021575,P24001,IL32,Inflammation,Unique Protein
OID20606,79.47221636535527,P42702,LIFR,Inflammation,Unique Protein
OID20607,89.62743526097273,Q9UIB8,CD84,Inflammation,Unique Protein
OID20608,47.65982374049914,P20340,RAB6A,Inflammation,Unique Protein
OID20609,82.9626169695376,Q8WXI8,CLEC4D,Inflammation,Unique Protein
OID20610,92.94811549509903,P10147,CCL3,Inflammation,Unique Protein
OID20611,21.352378501934343,P50591,TNFSF10,Inflammation,Unique Protein
OID20612,23.92305593600385,O15455,TLR3,Inflammation,Unique Protein
OID20613,41.038120840933836,P80162,CXCL6,Inflammation,Unique Protein
OID20614,23.565768482755466,Q08174,PCDH1,Inflammation,Unique Protein
OID20615,41.34606406766039,P37235,HPCAL1,Inflammation,Unique Protein
OID20616,36.56110018173383,P29965,CD40LG,Inflammation,Unique Protein
OID20617,25.981400634007873,Q07065,CKAP4,Inflammation,Unique Protein
OID20618,82.98112444198671,P68106,FKBP1B,Inflammation,Unique Protein
OID20619,25.04885431002542,P22304,IDS,Inflammation,Unique Protein
OID20620,37.5728223041109,O00273,DFFA,Inflammation,Unique Protein
OID20621,29.64056333219643,P01137,TGFB1,Inflammation,Unique Protein
OID20622,31.39336854512424,Q6UXB2,CXCL17,Inflammation,Unique Protein
OID20623,35.534845440726905,Q9Y266,NUDC,Inflammation,Unique Protein
OID20624,28.44209355338121,O43508,TNFSF12,Inflammation,Unique Protein
OID20625,77.24907384058375,Q04637,EIF4G1,Inflammation,Unique Protein
OID20626,18.15407875175035,P35613,BSG,Inflammation,Unique Protein
OID20627,57.09349844405639,O60884,DNAJA2,Inflammation,Unique Protein
OID20628,23.06168934229189,Q9BZW8,CD244,Inflammation,Unique Protein
OID20629,24.92191398469132,Q12918,KLRB1,Inflammation,Unique Protein
OID20630,28.09187844989422,P50452,SERPINB8,Inflammation,Unique Protein
OID20631,26.586749089700184,P10145,CXCL8,Inflammation,Duplicated Protein with lowest CV
OID20632,24.068633815161437,Q13241,KLRD1,Inflammation,Unique Protein
OID20633,34.59089316025808,Q14005,IL16,Inflammation,Unique Protein
OID20634,25.75916729327187,O94856,NFASC,Inflammation,Unique Protein
OID20635,28.429013229695936,P40259,CD79B,Inflammation,Unique Protein
OID20636,27.721158568615213,Q9BXN2,CLEC7A,Inflammation,Unique Protein
OID20637,25.57128998851127,P20273,CD22,Inflammation,Unique Protein
OID20638,31.847459260787105,Q9UQV4,LAMP3,Inflammation,Unique Protein
OID20639,28.714244182109066,Q96LA5,FCRL2,Inflammation,Unique Protein
OID20640,51.33340278658387,O43561,LAT,Inflammation,Unique Protein
OID20641,44.82175300725662,P36959,GMPR,Inflammation,Unique Protein
OID20642,26.886679888041048,Q15661,TPSAB1,Inflammation,Unique Protein
OID20643,59.30309324901359,Q96SB3,PPP1R9B,Inflammation,Unique Protein
OID20644,66.04841842413384,P30044,PRDX5,Inflammation,Unique Protein
OID20645,25.176403553632564,P00813,ADA,Inflammation,Unique Protein
OID20646,32.29548055391566,Q9Y6Q6,TNFRSF11A,Inflammation,Unique Protein
OID20647,24.832422163005084,O95971,CD160,Inflammation,Unique Protein
OID20648,43.02308250824322,P14317,HCLS1,Inflammation,Unique Protein
OID20649,27.34120299542242,P30203,CD6,Inflammation,Unique Protein
OID20650,27.560358779655015,P15692,VEGFA,Inflammation,Unique Protein
OID20651,30.446063339418828,O75077,ADAM23,Inflammation,Unique Protein
OID20652,23.619207425351146,Q13478,IL18R1,Inflammation,Unique Protein
OID20653,23.310329073258146,P43489,TNFRSF4,Inflammation,Unique Protein
OID20654,24.01177431048017,P02745,C1QA,Inflammation,Unique Protein
OID20655,30.287964360182645,Q99616,CCL13,Inflammation,Unique Protein
OID20656,27.413969149399055,P14210,HGF,Inflammation,Unique Protein
OID20657,29.776294409230907,Q12866,MERTK,Inflammation,Unique Protein
OID20658,66.66768640489249,O00253,AGRP,Inflammation,Unique Protein
OID20660,29.437760937705853,P43234,CTSO,Inflammation,Unique Protein
OID20661,23.7260629270011,P49771,FLT3LG,Inflammation,Unique Protein
OID20662,28.61076016428426,O43915,VEGFD,Inflammation,Unique Protein
OID20663,51.619410811714225,P12544,GZMA,Inflammation,Unique Protein
OID20664,26.60450175908011,Q9H4D0,CLSTN2,Inflammation,Unique Protein
OID20665,24.359134958297503,P48023,FASLG,Inflammation,Unique Protein
OID20666,23.053168170792613,P29460,IL12B,Inflammation,Unique Protein
OID20667,27.79300046192974,Q15517,CDSN,Inflammation,Unique Protein
OID20668,26.99833717107,P51671,CCL11,Inflammation,Unique Protein
OID20669,27.06191441364555,Q16719,KYNU,Inflammation,Unique Protein
OID20670,26.72757979141181,Q9HBG7,LY9,Inflammation,Unique Protein
OID20671,30.49780496712742,P78556,CCL20,Inflammation,Unique Protein
OID20672,34.85706228618039,P03956,MMP1,Inflammation,Unique Protein
OID20673,23.899290619092064,P49763,PGF,Inflammation,Unique Protein
OID20674,27.806293411411282,O15444,CCL25,Inflammation,Unique Protein
OID20675,36.84086070290814,Q07325,CXCL9,Inflammation,Unique Protein
OID20676,34.447798872533724,Q92484,SMPDL3A,Inflammation,Unique Protein
OID20677,33.54559568806034,P21709,EPHA1,Inflammation,Unique Protein
OID20678,28.913843615649178,P15260,IFNGR1,Inflammation,Unique Protein
OID20679,54.90968221488689,P53634,CTSC,Inflammation,Unique Protein
OID20680,33.02255922899319,Q5ZPR3,CD276,Inflammation,Unique Protein
OID20681,66.12379362730204,Q9UJU6,DBNL,Inflammation,Unique Protein
OID20682,41.75013817489083,P30613,PKLR,Inflammation,Unique Protein
OID20683,54.21870599533375,O43639,NCK2,Inflammation,Unique Protein
OID20684,64.65658900242907,P35625,TIMP3,Inflammation,Unique Protein
OID20685,54.80126603783692,P47712,PLA2G4A,Inflammation,Unique Protein
OID20686,41.46716023772923,O00585,CCL21,Inflammation,Unique Protein
OID20687,38.07581640041066,P09238,MMP10,Inflammation,Unique Protein
OID20688,43.239975361115626,P11684,SCGB1A1,Inflammation,Unique Protein
OID20689,35.533400945739615,Q6UWV6,ENPP7,Inflammation,Unique Protein
OID20690,31.989914857500334,Q9BZZ2,SIGLEC1,Inflammation,Unique Protein
OID20691,40.207210815249944,P25116,F2R,Inflammation,Unique Protein
OID20692,34.17156599881315,P09326,CD48,Inflammation,Unique Protein
OID20693,40.181989152807766,P55773,CCL23,Inflammation,Unique Protein
OID20694,34.56637720842549,Q14116,IL18,Inflammation,Unique Protein
OID20695,34.38372995181874,P13236,CCL4,Inflammation,Unique Protein
OID20696,33.73982059888735,Q08334,IL10RB,Inflammation,Unique Protein
OID20697,38.317679695893794,P02778,CXCL10,Inflammation,Unique Protein
OID20698,66.94853259781645,P01133,EGF,Inflammation,Unique Protein
OID20699,33.045206522736066,O75462,CRLF1,Inflammation,Unique Protein
OID20700,33.84586658872809,P18510,IL1RN,Inflammation,Unique Protein
OID20701,33.71789420381286,Q9NZV1,CRIM1,Inflammation,Unique Protein
OID20702,35.69459267848635,O14836,TNFRSF13B,Inflammation,Unique Protein
OID20703,40.79216671638793,Q9BY76,ANGPTL4,Inflammation,Unique Protein
OID20704,32.907398212310845,O76096,CST7,Inflammation,Unique Protein
OID20705,32.841402211830825,P21860,ERBB3,Inflammation,Unique Protein
OID20706,30.727739124797086,Q99435,NELL2,Inflammation,Unique Protein
OID20707,79.98436400653203,P55145,MANF,Inflammation,Unique Protein
OID20708,36.567945779237036,Q14210,LY6D,Inflammation,Unique Protein
OID20709,34.54145449613841,P29279,CCN2,Inflammation,Unique Protein
OID20710,38.805163121411965,Q9HC38,GLOD4,Inflammation,Unique Protein
OID20711,41.436477241752655,Q99685,MGLL,Inflammation,Unique Protein
OID20712,34.66276838565905,Q8NFT8,DNER,Inflammation,Unique Protein
OID20713,32.16744692631707,Q7KYR7,BTN2A1,Inflammation,Unique Protein
OID20714,52.12230948915179,P34896,SHMT1,Inflammation,Unique Protein
OID20715,37.51158669796698,O95750,FGF19,Inflammation,Unique Protein
OID20716,36.51503038256516,P19256,CD58,Inflammation,Unique Protein
OID20717,60.4331349429032,P29350,PTPN6,Inflammation,Unique Protein
OID20718,37.63313839111644,P0DMV8,HSPA1A,Inflammation,Unique Protein
OID20719,35.622693443932974,P09603,CSF1,Inflammation,Unique Protein
OID20720,33.406621753401936,O43291,SPINT2,Inflammation,Unique Protein
OID20721,66.95179290355576,P12532,CKMT1A_CKMT1B,Inflammation,Unique Protein
OID20722,58.4276658534858,Q9Y3D6,FIS1,Inflammation,Unique Protein
OID20723,43.10534292239574,Q96PL1,SCGB3A2,Inflammation,Unique Protein
OID20724,39.068490972762525,P25942,CD40,Inflammation,Unique Protein
OID20725,36.41113579673095,Q99983,OMD,Inflammation,Unique Protein
OID20726,44.06232989213575,Q9UKU9,ANGPTL2,Inflammation,Unique Protein
OID20727,48.144811127264866,P22466,GAL,Inflammation,Unique Protein
OID20728,37.67649607037589,Q8WXD2,SCG3,Inflammation,Unique Protein
OID20729,98.1047105931661,Q9NR12,PDLIM7,Inflammation,Unique Protein
OID20730,35.63633099991726,Q9H3U7,SMOC2,Inflammation,Unique Protein
OID20731,44.44420062967797,Q9NZC2,TREM2,Inflammation,Unique Protein
OID20732,36.23564138357679,Q8WU39,MZB1,Inflammation,Unique Protein
OID20733,39.79071981251654,O75888,TNFSF13,Inflammation,Unique Protein
OID20734,37.197230483543585,Q9Y6N7,ROBO1,Inflammation,Unique Protein
OID20735,37.35094343147096,O00300,TNFRSF11B,Inflammation,Unique Protein
OID20736,31.547853983850736,Q9UJA9,ENPP5,Inflammation,Unique Protein
OID20737,34.745095639770426,Q6GTX8,LAIR1,Inflammation,Unique Protein
OID20738,35.63929108608321,Q5KU26,COLEC12,Inflammation,Unique Protein
OID20739,38.626684415942776,O00241,SIRPB1,Inflammation,Unique Protein
OID20740,57.15239400386831,Q15389,ANGPT1,Inflammation,Unique Protein
OID20741,64.9024348479158,P01127,PDGFB,Inflammation,Unique Protein
OID20742,75.20280786558969,P46109,CRKL,Inflammation,Unique Protein
OID20743,38.10523188894256,P16422,EPCAM,Inflammation,Unique Protein
OID20744,44.00602215752459,O43598,DNPH1,Inflammation,Unique Protein
OID20745,45.382157913227395,Q92583,CCL17,Inflammation,Unique Protein
OID20746,37.01241941142002,Q96KG7,MEGF10,Inflammation,Unique Protein
OID20747,39.858001359579376,P24387,CRHBP,Inflammation,Unique Protein
OID20748,37.934532161509125,P56470,LGALS4,Inflammation,Unique Protein
OID20749,39.648877578006605,Q9H008,LHPP,Inflammation,Unique Protein
OID20750,36.49882086337287,O14773,TPP1,Inflammation,Unique Protein
OID20751,40.05856097902345,Q6UXH1,CRELD2,Inflammation,Unique Protein
OID20752,37.01259159072423,Q99895,CTRC,Inflammation,Unique Protein
OID20753,38.05599218828184,Q9NQ76,MEPE,Inflammation,Unique Protein
OID20754,38.09534465702129,Q4KMG0,CDON,Inflammation,Unique Protein
OID20755,36.88265828676459,Q9UHX3,ADGRE2,Inflammation,Unique Protein
OID20756,34.086525179117594,Q15109,AGER,Inflammation,Unique Protein
OID20757,29.5868876537939,P27930,IL1R2,Inflammation,Unique Protein
OID20758,35.41340162872389,Q9NQ30,ESM1,Inflammation,Unique Protein
OID20759,44.302958556113246,Q9HCB6,SPON1,Inflammation,Unique Protein
OID20760,116.26100343931618,Q9UII2,ATP5IF1,Inflammation,Unique Protein
OID20761,92.53652192578815,O75563,SKAP2,Inflammation,Unique Protein
OID20762,50.82644345969697,P09341,CXCL1,Inflammation,Unique Protein
OID20763,35.736233333157855,Q16651,PRSS8,Inflammation,Unique Protein
OID20764,35.07144251153089,Q03405,PLAUR,Inflammation,Unique Protein
OID20765,47.69628441958692,O00626,CCL22,Inflammation,Unique Protein
OID20766,34.379448135941836,P51888,PRELP,Inflammation,Unique Protein
OID20767,34.32367968710172,O00339,MATN2,Inflammation,Unique Protein
OID20768,35.579421777540595,P36941,LTBR,Inflammation,Unique Protein
OID20769,35.89573161713085,Q16363,LAMA4,Inflammation,Unique Protein
OID20770,36.15211388473041,P19883,FST,Inflammation,Unique Protein
OID20771,42.245395729766955,Q9BU40,CHRDL1,Inflammation,Unique Protein
OID20772,36.836681536305555,O00175,CCL24,Inflammation,Unique Protein
OID20773,34.68655711002526,Q99538,LGMN,Inflammation,Unique Protein
OID20774,35.95008297114866,Q14118,DAG1,Inflammation,Unique Protein
OID20775,52.59369061116944,P54317,PNLIPRP2,Inflammation,Unique Protein
OID20776,36.47807664636702,Q8IYS5,OSCAR,Inflammation,Unique Protein
OID20777,30.564485340331782,Q15166,PON3,Inflammation,Unique Protein
OID20778,56.39527465437967,P07148,FABP1,Inflammation,Unique Protein
OID20779,62.38913107645031,O95866,MPIG6B,Inflammation,Unique Protein
OID20780,39.59278947421786,P15291,B4GALT1,Inflammation,Unique Protein
OID20781,32.46960081458492,O00182,LGALS9,Inflammation,Unique Protein
OID20782,38.81506104391998,O95633,FSTL3,Inflammation,Unique Protein
OID20783,35.85246035639629,Q92956,TNFRSF14,Inflammation,Unique Protein
OID20784,40.16415392191319,Q9BYZ8,REG4,Inflammation,Unique Protein
OID20785,38.68122398665847,Q8TEU8,WFIKKN2,Inflammation,Unique Protein
OID20786,39.65029270805938,O00468,AGRN,Inflammation,Unique Protein
OID20787,42.10323312509202,Q03403,TFF2,Inflammation,Unique Protein
OID20788,58.50551046835607,P19876,CXCL3,Inflammation,Unique Protein
OID20789,34.59988508623484,Q13232,NME3,Inflammation,Unique Protein
OID30420,559.8627622093624,Q8N907,DAND5,Inflammation_II,Unique Protein
OID30421,35.35669478104476,P24530,EDNRB,Inflammation_II,Unique Protein
OID30422,48.709385436310185,Q99665,IL12RB2,Inflammation_II,Unique Protein
OID30423,45.9142719813142,Q7Z698,SPRED2,Inflammation_II,Unique Protein
OID30424,69.90938316061842,Q9NRR2,TPSG1,Inflammation_II,Unique Protein
OID30425,31.429736601494252,Q16665,HIF1A,Inflammation_II,Unique Protein
OID30426,46.244582057040546,Q9Y4C1,KDM3A,Inflammation_II,Unique Protein
OID30427,41.5605995604305,Q9H832,UBE2Z,Inflammation_II,Unique Protein
